FictionalCharacter:Mx4rwHKvgpwpEbGdrcN5Y29ycA,Person:Mx4rvViAkpwpEbGdrcN5Y29ycA,10916,DISJOINT,Crimson_Cowl_(Justine_Hammer),Gladiatrix_(comics),Spidercide_(comics),David_Metcalfe,Janice_Battersby,List_of_Emmerdale_characters_(2012),Diavolo,Fallen_One,Steven_Hyde,Tin_Woodman,Dani_Sutherland
Cartoon:Mx4rv3sEL5wpEbGdrcN5Y29ycA,ConceptualWork:Mx4rwClAZJwpEbGdrcN5Y29ycA,6769,DISJOINT,Buddy_and_Towser,The_Case_of_the_Stuttering_Pig,Umineko:_When_They_Cry__tv_series__1,Dusk_Maiden_of_Amnesia__1,Samurai_Deeper_Kyo__tv_series__1,Kure-nai__ova__1,Campione!__tv_series__1,Kon'nichiwa_Anne:_Before_Green_Gables,Rabid_Rider,Touch_(manga)__film__2,Rokudenashi_Blues__film__2
CartoonCharacter:Mx4rv16oEJwpEbGdrcN5Y29ycA,Person:Mx4rvViAkpwpEbGdrcN5Y29ycA,5215,DISJOINT,Leonus,Alphonse_Elric,Piledriver_(comics),Doll_Girl,Ian_Nottingham,Reaper_(Gunther_Strauss),Dio_Brando,U.S._Jones,Doctor_Light_(Kimiyo_Hoshi),Steel_Wind,Rev_(comics)
CourtCase:Mx4rhvQ6SIDLQdeVyO222GNvJQ,WorkQuantity:Mx4rnxbxgLq-EdqAAACQJw5drg,4958,DISJOINT,Cruz_v._New_York,Northwest_Austin_Municipal_Utility_District_No._1_v._Holder,Keyishian_v._Board_of_Regents,Wallace_v._Jaffree,Michigan_v._Summers,United_States_v._International_Boxing_Club_of_New_York,Continental_Paper_Bag_Co._v._Eastern_Paper_Bag_Co.,Oregon_v._Mitchell,Engel_v._Vitale,City_of_Walla_Walla_v._Walla_Walla_Water_Company,Duplex_Printing_Press_Co._v._Deering
SportsEvent:Mx4rvVjzBJwpEbGdrcN5Y29ycA,TennisTournament:Mx4rv0ThwJwpEbGdrcN5Y29ycA,3864,DISJOINT,2008_Delray_Beach_International_Tennis_Championships,2006_Qatar_Telecom_German_Open,1998_du_Maurier_Open,2011_Morocco_Tennis_Tour_–_Rabat,1977_Argentine_Championships_(tennis),2010_Bancolombia_Open,1986_Dutch_Open_(tennis),1987_French_Open,1990_Norstar_Bank_Hamlet_Challenge_Cup,2012_Budapest_Grand_Prix,2011_Copa_Claro
Anime:Mx4rwUcs75wpEbGdrcN5Y29ycA,Cartoon:Mx4rv3sEL5wpEbGdrcN5Y29ycA,3797,DISJOINT,Hell_Teacher_Nūbē__tv_series__1,To_(anime),Mermaid_Saga__ova__1,Happy_Boys,Futakoi_Alternative,The_Familiar_of_Zero__tv_series__3,Kurogane_Communication__tv_series__1,Super_Radical_Gag_Family__tv_series__1,Gen'ei_o_Kakeru_Taiyō__tv_series__1,Sister_Princess__tv_series__1,Boku_no_Imōto_wa_%22Ōsaka_Okan%22
OlympicGames:Mx4rvVkA9pwpEbGdrcN5Y29ycA,SportsEvent:Mx4rvVjzBJwpEbGdrcN5Y29ycA,3126,DISJOINT,Boxing_at_the_1928_Summer_Olympics_–_Men's_flyweight,Boxing_at_the_2000_Summer_Olympics_–_Welterweight,Shooting_at_the_1996_Summer_Olympics_–_Men's_50_metre_rifle_prone,Triathlon_at_the_2008_Summer_Olympics,Speed_skating_at_the_2002_Winter_Olympics_–_Men's_10000_metres,Diving_at_the_1976_Summer_Olympics_–_Women's_3_metre_springboard,Shooting_at_the_1896_Summer_Olympics_–_Men's_25_metre_military_pistol,Athletics_at_the_1904_Summer_Olympics_–_Men's_triple_jump,Athletics_at_the_2008_Summer_Olympics_–_Women's_long_jump,Speed_skating_at_the_1968_Winter_Olympics,Athletics_at_the_1952_Summer_Olympics_–_Men's_200_metres
CourtCase-Appellate:Mx4rlgJe1PeLEdyAAAACs6hbjw,WorkQuantity:Mx4rnxbxgLq-EdqAAACQJw5drg,2479,DISJOINT,Printz_v._United_States,Frisby_v._Schultz,Greene_v._Fisher,McDonald_v._Smith,Afroyim_v._Rusk,Glasser_v._United_States,League_of_United_Latin_American_Citizens_v._Perry,Gottschalk_v._Benson,National_Labor_Relations_Board_v._Jones_&_Laughlin_Steel_Corporation,Vanstophorst_v._Maryland,Castle_Rock_v._Gonzales
Person:Mx4rvViAkpwpEbGdrcN5Y29ycA,TVCharacter:Mx4rwP_Pk5wpEbGdrcN5Y29ycA,2408,DISJOINT,Sid_Walker,Angelina_Veneziano,Liberty_Ciccone,Charlie_Banks_(One_Life_to_Live),Sandy_Thomas,Marta_Del_Sol,Patti_Tate,Alan_Turner_(Emmerdale),List_of_Coronation_Street_characters_(2003),Alexis_Colby,Syed_Masood
MassTransitSystem:Mx4rD0_fJHs6QdeQXMtf4V-X7A,Place:Mx4rvVjTtJwpEbGdrcN5Y29ycA,1437,DISJOINT,Rede_Integrada_de_Transporte,Fuzhou_Metro,Transports_Publics_du_Chablais,Crane_Creek_Lumber_Company,Hook_Norton_ironstone_quarries_(Brymbo),Llynvi_and_Ogmore_Railway,Dhaka_Metro,Frankfurt_U-Bahn,SEPTA,Hedjaz_Jordan_Railway,Transcaucasus_Railway
